id,traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time
0,5977.718651769926,None,334.2712818168946,7.077448372669446,2.1750001883841854,40,Clouds,scattered clouds,02-10-2012 09:00
1,4868.417931721006,None,335.5235816100202,5.055320266192461,7.612500659344649,75,Clouds,broken clouds,02-10-2012 10:00
2,5139.005376553153,None,335.7786797160272,8.088512425907938,3.262500282576278,90,Clouds,overcast clouds,02-10-2012 11:00
3,5418.2171224158055,None,336.4164249810449,6.066384319430954,8.700000753536742,90,Clouds,overcast clouds,02-10-2012 12:00
4,5301.789058503966,None,337.58755719498646,5.055320266192461,13.050001130305112,75,Clouds,broken clouds,02-10-2012 13:00
5,5585.312954881872,None,338.26008856536873,2.0221281064769845,10.875000941920929,1,Clear,sky is clear,02-10-2012 14:00
6,6019.762119293646,None,339.9414169913244,3.033192159715477,8.700000753536742,1,Clear,sky is clear,02-10-2012 15:00
7,6484.396337312191,None,340.7414974147102,4.044256212953969,3.262500282576278,1,Clear,sky is clear,02-10-2012 16:00
8,6242.915908458005,None,341.06616773144646,0.0,2.1750001883841854,20,Clouds,few clouds,02-10-2012 17:00
9,5142.239489439593,None,339.8602494121403,6.066384319430954,2.1750001883841854,20,Clouds,few clouds,02-10-2012 18:00
10,3815.1751683703815,None,337.39043593125376,8.088512425907938,11.96250103611302,20,Clouds,few clouds,02-10-2012 19:00
11,3001.256758616316,None,335.5467723469299,3.033192159715477,11.96250103611302,1,Clear,sky is clear,02-10-2012 20:00
12,2545.2468416282763,None,334.6539289759052,4.044256212953969,13.050001130305112,1,Clear,sky is clear,02-10-2012 21:00
13,1648.3195344555843,None,332.9726005499496,3.033192159715477,13.050001130305112,1,Clear,sky is clear,02-10-2012 22:00
14,1038.1502365472386,None,330.9897925441673,4.044256212953969,6.525000565152556,1,Clear,sky is clear,02-10-2012 23:00
15,545.4870401795459,None,330.0389723308683,6.066384319430954,10.875000941920929,1,Clear,sky is clear,03-10-2012 00:00
16,346.0500788490795,None,328.69390959010383,6.066384319430954,5.437500470960464,1,Clear,sky is clear,03-10-2012 01:00
17,294.3042726660396,None,326.0385702139393,5.055320266192461,0.0,1,Clear,sky is clear,03-10-2012 02:00
18,395.6398097744929,None,325.93421189784544,2.0221281064769845,10.875000941920929,1,Clear,sky is clear,03-10-2012 03:00
